课程名称,价格,报名人数,课程进度,课程机构
Web安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,0.0,5733,共22节,掌控安全学院
python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,4362.22,5281,随到随学,马哥教育
SpringMVC+Spring+MyBatis框架整合SSM整合[IntelliJ IDEA/MySQL],0.0,573,共1节,鸟哥教育
面向对象C#零基础入门精讲（1）C#开发入门,52.22,60,共7节,徐照兴
Python 自动化测试开发系统进阶课程_霍格沃兹测试学院,1422.22,617,随到随学,霍格沃兹测试学院
(小码哥)经典编程语言：Swift编程入门,0.0,533,共1节,小码哥教育
软件测试管理层人才Leader精英班【乐搏学院】,776.22,10,进度：6/14节,乐搏技术学院
Java小白如何逆袭50万年薪技术大咖,0.0,76,共10节,小码哥教育
【免费试学】自媒体短视频赚钱|头条号|抖音电商网赚|网络营销,0.0,60,共2节,泛学苑自媒体
移动端高级 | 移动端开发深度揭秘【妙味课堂】,0.0,51,共14节,妙味课堂
web全栈开发-企业级开发专题【六星教育】,9662.22,89,进度：12/25节,六星教育
graceUI  - 微信小程序UI框架、uni-app UI框架 使用教程,0.0,508,共7节,hcoder 刘海君
网络营销|网赚抖音电商|Vlog短视频|赚钱营销淘宝客引流网络推广,0.0,5,共2节,微客教育
马哥Linux高端运维云计算就业班-教学总监老王主讲,9162.22,5506,共41节,马哥教育
SPOTO专注思科认证培训16年，资深专家带你玩转CCNA/CCNP/CCIE,0.0,443,共47节,SPOTO思博网络
ASP.NET就业实例教程（1）ASP.NET基础入门搭建网站开发环境,52.22,597,共8节,徐照兴
【严选课程】Java互联网架构师系统进阶课程（VIP） 【享学课堂】,4662.22,9345,进度：24/31节,享学课堂
WordPress仿站实例教程,0.0,83,共29节,曲靖乾动网络科技有限公司
Vue前后端分离架构技术【免费学习】,0.0,554,共11节,每特教育
【阶段一】前端全栈工程师精英班,4662.22,64,随到随学,京程一灯
Web前端0到架构师①HTML+CSS+JS基础,0.0,914,共47节,小码哥教育
全网最强JVM类加载器机制讲解,0.0,305,共6节,图灵学院
软考软件设计师套餐,60.22,89,课程3,小任老师
【智能社】ES6精讲—ECMAscript6精通系列（基础篇）,2.52,5502,共6节,【智能社】在线课堂
简明JDBC教程,0.0,587,共5节,马士兵老师
