course_name,course_organization,course_price,course_status
Excel Power Query 第2季视频教程 可视化及M函数入门【朱仕平】,朱仕平,¥516.22,共114节
武百分2020执业/助理医师资格考试运动系统考点精讲,武百分教育,¥17.22,共11节
次世代游戏提升班【云普集教育】,云普集游戏动漫学院,¥1362.22,进度：5/5节
从基础到风光人文进阶,好摄帮课堂,¥3162.22,课程2
2020完全解析+题库,唐志,¥376.22,课程2
【阶段一】前端全栈工程师精英班,京程一灯,¥4662.22,随到随学
【摄影】如何拍人像/田德友/录播/中艺,中艺影像,¥586.22,共13节
马哥Linux高端运维云计算就业班-教学总监老王主讲,马哥教育,¥9162.22,共41节
CAD2020软件运用，全套施工图讲解,云学贝教育,¥9.22,共6节
【恩维客教育】VIP室内设计CAD施工图深化高级班,恩维客教育,¥5462.22,开设6个班级
产品精修+海报合成实战班/为课教育,为课教育,¥5177.22,随到随学
圆锥超级大招：独家心法口诀—高中数学新高考数学高三一轮,数学怪,¥7.72,共1节
【摄影】畅学会员中艺,中艺影像,¥5762.22,课程28
春哥4节超值人体结构干货入门课,飞鱼绘,¥7.72,共4节
【北京峰源】土建造价实战班,峰源教育,¥3377.22,随到随学
2020高三数学寒春班,上课铃教育,¥5177.22,课程3
国和【路基工程精讲二】路床设计 教材编委郑智能主讲,国和网校,¥5.22,进度：1/1节
精英续航系列-精讲班：经济法基础【续航A班】,菜子学院,¥876.22,进度：10/30节
国和【桥梁工程精讲之小桥涵】道勘大咖孙家驷老师主讲,国和网校,¥5.22,进度：1/1节
【思睿电商】 2020年终冲刺班,思睿电商学院,¥8162.22,进度：17/25节
武百分2020乡村全科执业助理医师考点精讲班,武百分教育,¥476.22,共38节
立体裁剪+平面制版 /平立一体互通打版进修课程（艺服教育）,艺服教育,¥9776.22,随到随学
旭文日语-零基础~N2-全课程随意学特惠套餐,常泽教育,¥3316.22,课程17
2020给排水专业真题精粹飞跃班,张工教育,¥3162.22,2020-7-6开讲
面向对象C#零基础入门精讲（1）C#开发入门,徐照兴,¥52.22,共7节
【VIP-2年】付款链接 快速打造店铺爆款，营销最新玩法【齐论】,齐论京东学院,¥4976.22,随到随学
原画人零基础入门15期【苗苗】,原画人在线学院,¥0272.22,随到随学
幕墙结构设计训练营,江苏轩锐教育,¥7.72,进度：5/5节
【火焱社拼多多】拼多多实战运营实战课程零基础打造爆款VIP升级,火焱社拼多多商学院,¥8922.22,进度：12/12节
ASP.NET就业实例教程（1）ASP.NET基础入门搭建网站开发环境,徐照兴,¥52.22,共8节
武百分2020执业/助理医师资格考试心血管系统考点精讲,武百分教育,¥47.22,共12节
室内设计VIP初高级班(2019年底冲刺班1),仁厚教育,¥0312.22,课程8
中级财管通关保障B班,菜子学院,¥5362.22,课程5
Java分布式电影预告小程序后台实战项目【鲁班学院】,鲁班学院,¥5362.22,共21节
2020年初级会计师2科目协议通关【VIP全程私教辅导每日计划任务】,瑞云学堂,¥877.22,共72节
摄影后期进阶实战班,光影学院,¥8362.22,随到随学
python全栈自动化测试工程师第12-27期【柠檬班VIP】,柠檬班,¥1462.22,随到随学
原画人3D辅助美宣2期【李睿】,原画人在线学院,¥1762.22,进度：9/13节
高级女装制版全套深造技术--VIP二班级【艺服在线教学】,艺服教育,¥3777.22,随到随学
武百分2020执业/助理医师资格考试儿科疾病考点精讲,武百分教育,¥77.22,共16节
【智能社】ES6精讲—ECMAscript6精通系列（基础篇）,【智能社】在线课堂,¥2.52,共6节
智源教育SVIP专享-电商美工实战特训【飞速跨越孵化班】,智源教育学院,¥3162.22,共14节
Linux入门到服务器架构师,零声学院,¥6312.22,课程2
X-T1摄影入门到精通,FUN视觉  雷波,¥876.22,课程22
【VIP】商业插画系统课程【板绘】,合尚教育,¥8362.22,进度：4/30节
实务+财管通关B班,菜子学院,¥3362.22,课程14
原画人插画基础8期【时若可止、二戈】,原画人在线学院,¥3772.22,随到随学
6D2摄影从入门到精通,FUN视觉  雷波,¥876.22,课程22
大暑教育2020全新VIP实战课程,大暑电商学院,¥8162.22,共6节
消防安全技术实务精讲,不惑教育,¥677.22,进度：11/59节
【坤哥物理】2020高三二轮三轮系统班 高考直播模拟考,蜜蜂优课,¥3977.22,课程10
武百分2020执业/助理医师资格考试女性生殖系统考点精讲,武百分教育,¥77.22,共23节
中级实务通关保障B班,菜子学院,¥5362.22,课程5
性能优化特训营,六星教育,¥772.22,进度：3/5节
原画人伪厚涂插画11期【醒爷】,原画人在线学院,¥9172.22,进度：8/12节
java高级阶段（阶段三）,拓薪教育,¥5677.22,共73节
高一答疑解惑班数理化,大鹏家课堂,¥553.22,课程3
JAVA实战班体验课【软谋教育】,软谋教育,¥5.22,进度：1/1节
2019国考笔试高频刷题【第四期】,尚政公考,¥362.22,进度：6/6节
CAD制图全能【第一阶段.启航班】,云艺帆教育,¥622.22,随到随学
5D3摄影入门到精通,FUN视觉  雷波,¥876.22,课程22
小儿推拿必修精品课程,青岛天士元健康管理咨询有限公司,¥8722.22,共12节
原画人场景设计8期【申鹤】,原画人在线学院,¥9172.22,共6节
2018初级会计师职称考点+习题班送真题原题库软件名师王成瑶,瑞云学堂,¥77.22,共18节
【图灵VIP专属课堂】JAVA互联网架构师专题/分布式/高并发/微服务,图灵学院,¥4662.22,开设2个班级
"Office应用大师年费班(含Excel,Word,PPT,VBA,PQ,PP等)【朱仕平】",朱仕平,¥476.22,共119节
商业高级后期班,为课教育,¥3977.22,随到随学
【修图】专业摄影师带你玩转Lightroom/许伟华/录播/中艺,中艺影像,¥577.22,共30节
2020省考旗舰班,晴教育,¥3762.22,课程15
高二数学同步精讲,北京跨学网教育科技有限公司,¥547.22,课程3
【严选课程】Java互联网架构师系统进阶课程（VIP） 【享学课堂】,享学课堂,¥4662.22,进度：25/31节
2019淘宝运营之单品访客7天破千的技巧揭秘,大娃火焱社,¥55.22,共3节
中级经济法通关保障B,菜子学院,¥5362.22,课程5
JavaVIP-Redis突击训练之入门到疯魔,六星教育,¥77.22,开设2个班级
二级机电备考合集,筑城网校,¥5376.22,课程10
JavaEE高级/javaweb/数据库/ssm框架/maven/linux,拓薪教育,¥8777.22,共56节
大神教你学插画VIP—古风插画特训班,绘梦CG学院,¥8812.22,开设2个班级
亚马逊金宝贝孵化班,百聚汇商学院,¥57622,课程2
二级结构备考合集,筑城网校,¥5376.22,课程9
PS/AI基础班/为课教育,为课教育,¥162.22,进度：16/16节
二级建筑备考合集,筑城网校,¥5376.22,课程10
C4D+Octane高级电商美工3D立体设计实训【高薪提升进阶班】,智源教育学院,¥3862.22,共4节
【西瓜商学院】路遥私家打造爆款绝秘玩法,西瓜商学院,¥77.22,共4节
Kali安全渗透+Web白帽子高级工程师+黑客攻防-腾讯课堂认证课程,学神IT教育,¥1872.22,共24节
UG产品+模具全科班,学呀教育.,¥6666.22,课程5
商业插画设计实战班【VIP】,米你课堂,¥8462.22,进度：4/26节
（正式班）3DMAX效果图室内外设计（从零到精通）艾巴优教育,艾巴优教育,¥8162.22,随到随学
Web前端开发高级进阶班【软谋教育】,软谋教育,¥9077.22,开设2个班级
HTML5前端+全栈从基础到就业班,黄埔课堂,¥5776.22,课程43
UI设计特训营/项目实训基地/交互/APP设计/WEB设计/UI动效拔高课,知行一教育,¥3762.22,2020-2-14开讲
从基础到人像后期进阶,好摄帮课堂,¥3162.22,课程2
【外研社版】三上+三下,Jenny英语课堂,¥79.22,课程2
【新手友好】5节课“零基础”入门谷歌推广,魔贝课凡,¥76.22,共2节
千代手绳系统教学课程 初级基础班,千代,¥3176.22,共181节
Rhino3D(犀牛)工具讲解与应用课程（合集）,Rhino3D（犀牛）原厂中国/Shaper3d,¥062.22,共73节
摄影后期/影楼 精修 调色 风景 人像 合成 商业修图/全能班 聚恒,聚心恒教育,¥3122.22,随到随学
【齐论跨境/专注跨境培训】亚马逊VIP学习卡（一年）,齐论跨境学院,¥8977.22,共2节
【外研社版】三/四/五/六年级(上册+下册),Jenny英语课堂,¥343.22,课程8
2020年注册结构工程师全程班,张工教育,¥8322.22,课程4
【VIP-2年】付款链接 快速选择精品专注跨境培训实操课程【齐论】,齐论跨境学院,¥4576.22,随到随学
【赠课】19高考语文一轮复习（上）：文学的发现,杨洋,¥177.22,共9节
亚马逊特训班VIP套课,百聚汇商学院,¥7622.22,课程13
A6000摄影入门到精通,FUN视觉  雷波,¥876.22,课程22
【坤哥物理】高二下期全套含3-4  电磁感应动量光学,蜜蜂优课,¥977.22,课程4
中高级测试开发「名企定向培养」班-霍格沃兹测试学院,霍格沃兹测试学院,,共47节
【NEXT学院】Vue从入门到实战,腾讯课堂NEXT学院,¥5977.22,共38节
C4D电商视觉全能班,蓝巴教育,¥3977.22,课程3
软件测试管理层人才Leader精英班【乐搏学院】,乐搏技术学院,¥0776.22,进度：6/14节
周哥教IT.逆向基础课包,周哥教IT,¥576.22,课程20
室内设计全套课程,深柳堂设计学院,¥0212.22,课程2
PS教程/PS图像合成/电商美工/零基础到精通/合成技巧,拓薪教育,¥877.22,开设4个班级
2020护士资格证考试零基础精讲课（刘本胜老师权威护资辅导）,刘本胜,,共113节
2020高中数学寒春冲刺营,转折点教育,¥5977.22,课程3
拼多多运营361计系列课程,火焱社拼多多商学院,¥97.22,共1节
泛学苑自媒体新媒体短视频撸收益第八期VIP内容创作全方位进阶班,泛学苑自媒体,¥8576.22,共22节
0-N1精讲班【三文猫】,三文猫,¥1762.22,课程3
【NEXT学位 x IMWeb】Web前端从小白到大师基础课程,腾讯课堂NEXT学院,¥3777.22,共105节
高级女装制版全套深造技术--VIP三班级【艺服在线教学】,艺服教育,¥5376.22,随到随学
【VIP】CG原画/插画基础班,合尚教育,¥8412.22,进度：4/20节
无忧就业会计精英私塾2班,菜子学院,¥5777.22,开设2个班级
